EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:29:16	0	0.0100	1.6140220509764633	1.090196132659912	0.001	0.0008	0.0009	0.0005
2	14:30:09	0	0.0100	1.1143214101573984	0.8421204686164856	0.0811	0.1149	0.0951	0.051
3	14:31:05	0	0.0100	0.8915358590571258	0.6603699922561646	0.3719	0.3797	0.3757	0.2351
4	14:32:01	0	0.0100	0.7448872278966318	0.5445538759231567	0.4899	0.5474	0.5171	0.3571
5	14:32:57	0	0.0100	0.6459962307647018	0.46054592728614807	0.573	0.6273	0.599	0.4319
6	14:33:52	0	0.0100	0.563866640093644	0.40456223487854004	0.6737	0.7228	0.6974	0.541
7	14:34:49	0	0.0100	0.5052673573094969	0.36903074383735657	0.7152	0.7624	0.7381	0.5905
8	14:35:45	1	0.0100	0.4573645480487854	0.33201560378074646	0.6828	0.7671	0.7225	0.5704
9	14:36:38	0	0.0100	0.4148687695369916	0.32272499799728394	0.746	0.8005	0.7723	0.64
10	14:37:35	0	0.0100	0.38247253064014103	0.2866983413696289	0.7545	0.8183	0.7851	0.6567
11	14:38:31	0	0.0100	0.35181231531723106	0.2734873592853546	0.7825	0.8408	0.8106	0.685
12	14:39:27	0	0.0100	0.3238452038825739	0.2545926570892334	0.7934	0.8556	0.8233	0.7064
13	14:40:23	0	0.0100	0.29641186257889957	0.24570788443088531	0.8166	0.8502	0.833	0.7199
14	14:41:18	0	0.0100	0.2794540047648755	0.2451101541519165	0.8126	0.8587	0.835	0.7238
15	14:42:14	0	0.0100	0.26180294879648375	0.24004699289798737	0.8145	0.8727	0.8426	0.7356
16	14:43:11	0	0.0100	0.24477928314743178	0.23189502954483032	0.8286	0.8781	0.8526	0.751
17	14:44:08	0	0.0100	0.23288951759498433	0.23023079335689545	0.8392	0.8672	0.853	0.7537
18	14:45:04	0	0.0100	0.21850369160668293	0.2236252725124359	0.8441	0.8742	0.8589	0.7613
19	14:46:00	1	0.0100	0.20968330004267552	0.23479555547237396	0.83	0.8719	0.8504	0.7522
20	14:46:53	0	0.0100	0.19968405192716268	0.22428815066814423	0.8521	0.8812	0.8664	0.7747
21	14:47:49	1	0.0100	0.18949056263612737	0.22706910967826843	0.8491	0.8734	0.8611	0.7653
22	14:48:40	0	0.0100	0.17969654297031587	0.22986142337322235	0.8535	0.882	0.8675	0.7728
23	14:49:36	0	0.0100	0.17360258901414555	0.23120522499084473	0.865	0.8804	0.8726	0.7821
24	14:50:32	0	0.0100	0.16605504445592062	0.22364136576652527	0.8629	0.8843	0.8735	0.7823
25	14:51:27	1	0.0100	0.15793298420421445	0.22599808871746063	0.8566	0.8859	0.871	0.7799
26	14:52:20	2	0.0100	0.15171361286211552	0.23791542649269104	0.8663	0.8804	0.8733	0.7826
27	14:53:13	0	0.0100	0.14655035410340503	0.24137702584266663	0.8764	0.875	0.8757	0.7859
28	14:54:09	0	0.0100	0.14071060156604934	0.23231258988380432	0.8626	0.8921	0.8771	0.7875
29	14:55:05	1	0.0100	0.1351539768608528	0.2384040653705597	0.8642	0.8797	0.8719	0.7819
30	14:55:59	2	0.0100	0.13285566289330789	0.23703569173812866	0.8476	0.8766	0.8618	0.7686
31	14:56:50	3	0.0100	0.1252076555672753	0.25500810146331787	0.8365	0.8781	0.8568	0.7663
32	14:57:45	0	0.0100	0.1229984076803813	0.2624095678329468	0.8779	0.8766	0.8772	0.7851
33	14:58:41	1	0.0100	0.12107659380198729	0.2450893074274063	0.8614	0.8781	0.8697	0.7763
34	14:59:33	0	0.0100	0.11452452466598687	0.25304150581359863	0.8719	0.8828	0.8773	0.7912
35	15:00:29	1	0.0100	0.10831521737995738	0.27331873774528503	0.8457	0.868	0.8567	0.7637
36	15:01:22	2	0.0100	0.10510190781619548	0.2435847669839859	0.8605	0.8766	0.8685	0.7786
37	15:02:16	3	0.0100	0.10571538951217964	0.2615789473056793	0.8623	0.875	0.8686	0.7756
38	15:03:09	4	0.0100	0.10194152833662377	0.2709113657474518	0.8577	0.8797	0.8685	0.7766
39	15:04:02	1	0.0050	0.0942944768512487	0.269963800907135	0.8655	0.8742	0.8698	0.7787
40	15:04:56	2	0.0050	0.09142427982984914	0.2703269422054291	0.855	0.8742	0.8645	0.7712
41	15:05:49	3	0.0050	0.08956484678781167	0.2827039659023285	0.8596	0.875	0.8673	0.7756
42	15:06:42	4	0.0050	0.08566043017501136	0.27320095896720886	0.8701	0.8789	0.8745	0.785
43	15:07:34	1	0.0025	0.08528418617286256	0.2709507346153259	0.8638	0.8766	0.8701	0.7786
